date,time,power
01/01/2023,00:00,27790
01/01/2023,01:00,21685
01/01/2023,02:00,21341
01/01/2023,03:00,21113
01/01/2023,04:00,20086
01/01/2023,05:00,20427
01/01/2023,06:00,27790
01/01/2023,07:00,24423
01/01/2023,08:00,19971
01/01/2023,09:00,37205
01/01/2023,10:00,34807
01/01/2023,11:00,32640
01/01/2023,12:00,33211
01/01/2023,13:00,37318
01/01/2023,14:00,30130
01/01/2023,15:00,32525
01/01/2023,16:00,22710
01/01/2023,17:00,21226
01/01/2023,18:00,20427
01/01/2023,19:00,18145
01/01/2023,20:00,18375
01/01/2023,21:00,18603
01/01/2023,22:00,17118
01/01/2023,23:00,16091
02/01/2023,00:00,25736
02/01/2023,01:00,15292
02/01/2023,02:00,15292
02/01/2023,03:00,15522
02/01/2023,04:00,15292
02/01/2023,05:00,18373
02/01/2023,06:00,25736
02/01/2023,07:00,27617
02/01/2023,08:00,32297
02/01/2023,09:00,35037
02/01/2023,10:00,31270
02/01/2023,11:00,33782
02/01/2023,12:00,37661
02/01/2023,13:00,33780
02/01/2023,14:00,35950
02/01/2023,15:00,33667
02/01/2023,16:00,30130
02/01/2023,17:00,30243
02/01/2023,18:00,29444
02/01/2023,19:00,26705
02/01/2023,20:00,28760
02/01/2023,21:00,30471
02/01/2023,22:00,24879
02/01/2023,23:00,27276
03/01/2023,00:00,40914
03/01/2023,01:00,26249
03/01/2023,02:00,26021
03/01/2023,03:00,26362
03/01/2023,04:00,27732
03/01/2023,05:00,28303
03/01/2023,06:00,40914
03/01/2023,07:00,40629
03/01/2023,08:00,38575
03/01/2023,09:00,40857
03/01/2023,10:00,37776
03/01/2023,11:00,37092
03/01/2023,12:00,38117
03/01/2023,13:00,34123
03/01/2023,14:00,34010
03/01/2023,15:00,35837
03/01/2023,16:00,37661
03/01/2023,17:00,37433
03/01/2023,18:00,36521
03/01/2023,19:00,34922
03/01/2023,20:00,33782
03/01/2023,21:00,32069
03/01/2023,22:00,28075
03/01/2023,23:00,27619
04/01/2023,00:00,35550
04/01/2023,01:00,27389
04/01/2023,02:00,26021
04/01/2023,03:00,25450
04/01/2023,04:00,27161
04/01/2023,05:00,27960
04/01/2023,06:00,35550
04/01/2023,07:00,32069
04/01/2023,08:00,39259
