date,time,power
01/01/2023,00:00,460083
01/01/2023,01:00,457083
01/01/2023,02:00,451667
01/01/2023,03:00,473750
01/01/2023,04:00,501667
01/01/2023,05:00,495917
01/01/2023,06:00,496167
01/01/2023,07:00,492500
01/01/2023,08:00,485500
01/01/2023,09:00,475583
01/01/2023,10:00,490750
01/01/2023,11:00,475833
01/01/2023,12:00,448500
01/01/2023,13:00,422417
01/01/2023,14:00,429583
01/01/2023,15:00,427417
01/01/2023,16:00,450917
01/01/2023,17:00,483917
01/01/2023,18:00,466667
01/01/2023,19:00,480500
01/01/2023,20:00,449417
01/01/2023,21:00,446083
01/01/2023,22:00,489333
01/01/2023,23:00,497417
02/01/2023,00:00,474750
02/01/2023,01:00,478417
02/01/2023,02:00,471500
02/01/2023,03:00,488583
02/01/2023,04:00,515917
02/01/2023,05:00,550583
02/01/2023,06:00,566167
02/01/2023,07:00,593083
02/01/2023,08:00,607917
02/01/2023,09:00,636667
02/01/2023,10:00,719083
02/01/2023,11:00,757333
02/01/2023,12:00,921417
02/01/2023,13:00,800750
02/01/2023,14:00,790583
02/01/2023,15:00,880000
02/01/2023,16:00,945333
02/01/2023,17:00,1027167
02/01/2023,18:00,897333
02/01/2023,19:00,824167
02/01/2023,20:00,856917
02/01/2023,21:00,1047667
02/01/2023,22:00,983500
02/01/2023,23:00,1043417
03/01/2023,00:00,1127167
03/01/2023,01:00,1111250
03/01/2023,02:00,1116417
03/01/2023,03:00,1094000
03/01/2023,04:00,1061750
03/01/2023,05:00,1066083
03/01/2023,06:00,1022250
03/01/2023,07:00,1170250
03/01/2023,08:00,1242500
03/01/2023,09:00,1173667
03/01/2023,10:00,1232667
03/01/2023,11:00,1273500
03/01/2023,12:00,1173500
03/01/2023,13:00,1091250
03/01/2023,14:00,1221167
03/01/2023,15:00,1170667
03/01/2023,16:00,1078000
03/01/2023,17:00,1061667
03/01/2023,18:00,1229500
03/01/2023,19:00,1204250
03/01/2023,20:00,984167
03/01/2023,21:00,1119083
03/01/2023,22:00,1037167
03/01/2023,23:00,996333
04/01/2023,00:00,1050667
04/01/2023,01:00,1038250
04/01/2023,02:00,1000250
04/01/2023,03:00,825333
04/01/2023,04:00,849667
04/01/2023,05:00,835083
