hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2021-01-01 00:00:00,0.0,,0.0,5.8567,1.56375,0.21009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-01-01 01:00:00,0.0,,0.0,5.70981,1.3025,0.21009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-01-01 02:00:00,0.0,,0.0,5.49284,1.075,0.21009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-01-01 03:00:00,0.0,,0.0,5.3587,1.26125,0.21009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-01-01 04:00:00,0.0,,0.0,5.24075,1.32417,0.21009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-01-01 05:00:00,0.0,,0.0,5.12786,1.43792,0.21009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-01-01 06:00:00,0.0,,0.0,5.04638,1.32333,0.21009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-01-01 07:00:00,0.0,,0.0,4.98284,1.77333,0.21009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-01-01 08:00:00,0.4,,0.4,5.07405,1.86833,0.21009,-1.5915496,123.48496,81.975395,0.0,,0.4,0.0,0.3657573,0.0006076899,0.0,0.3565106,0.0,0.0,0.34138626,0.0,0.33455855,0.334564,56.45847,5.0833244,3.0437393,2.989455,2.9809644,0.0,0.0,2.9809384,72.23995,0.0,0.0,0.0,2.9809384,0.0,260.0,0.0,0.0
10,2021-01-01 09:00:00,27.9,,27.7,5.62614,3.17,0.21009,6.198881,134.89362,73.83314,0.0,,27.9,0.5157174,27.127836,0.042386368,0.40021643,26.442188,0.03142243,0.34836203,25.320423,0.010012216,25.165222,25.163254,4246.3403,6.265819,3658.3525,3881.9026,3712.3816,0.0,0.0,3711.9521,700.5108,0.0,0.0,0.0,0.0,3711.9521,700.5108,3652.2036,3542.637451171875
11,2021-01-01 10:00:00,39.85,,39.75,6.10784,2.86625,0.21009,12.51319,147.33751,67.589386,0.0,,39.85,0.17595953,38.371822,0.060541105,0.12903368,37.401993,0.04488114,0.11856211,35.815277,0.0143006025,35.229176,35.23029,5945.329,7.0216365,5283.6055,5593.44,5376.51,0.0,0.0,5375.6333,708.13794,0.0,0.0,0.0,0.0,5375.6333,708.13794,5289.095,5130.42236328125
12,2021-01-01 11:00:00,80.53333,,79.5,6.7818,2.67417,0.21009,16.910507,160.86838,63.83139,0.0,,80.53333,1.566683,78.9267,0.12234823,1.2781773,76.93181,0.09070082,1.1971459,73.668106,0.028900255,73.39627,73.39961,12386.512,8.710055,11574.636,12176.087,11695.835,0.0,0.0,11691.874,725.27014,0.0,0.0,0.0,0.0,11691.874,725.27014,11503.6875,11158.5771484375
