hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2021-01-01 00:00:00,0.0,,0.0,11.73519,2.25167,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-01-01 01:00:00,0.0,,0.0,11.15492,1.90333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-01-01 02:00:00,0.0,,0.0,10.55831,1.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-01-01 03:00:00,0.0,,0.0,10.16658,1.82417,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-01-01 04:00:00,0.0,,0.0,9.80899,1.77417,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-01-01 05:00:00,0.0,,0.0,9.46632,1.98792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-01-01 06:00:00,0.0,,0.0,9.21627,1.74917,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-01-01 07:00:00,0.0,,0.0,9.03874,2.17333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-01-01 08:00:00,5.93333,,5.93333,9.4521,2.26833,0.2,1.4530382,124.49421,83.568596,0.0,,5.93333,0.0,5.7964654,0.0022578111,0.0,5.775797,0.0017963245,0.0,5.509039,0.0,5.398858,5.3987846,1105.3339,9.597813,699.1075,723.7573,705.0775,0.0,0.0,705.0641,649.60547,0.0,0.0,0.0,0.0,705.0641,649.60547,693.7831,672.9695434570312
10,2021-01-01 09:00:00,130.4,,44.85,11.40107,3.57,0.2,9.725842,135.60233,75.4818,0.0,,130.4,126.95096,52.800312,0.04962114,118.30155,52.61204,0.039478794,100.62122,50.18213,0.0,147.78728,147.63289,30232.725,15.056242,29226.168,30114.111,28490.797,0.0,0.0,28473.656,753.34875,0.0,0.0,0.0,0.0,28473.656,753.34875,28018.078,27177.53515625
11,2021-01-01 10:00:00,254.06667,,47.2,13.4949,3.25417,0.2,16.414291,148.00398,69.22202,0.0,,254.06667,259.69727,53.350735,0.09668004,259.69727,53.1605,0.076919064,236.07903,50.705257,0.0,281.04858,281.04865,57542.316,20.599829,56818.12,57567.832,55275.453,0.0,0.0,55214.098,753.40063,0.0,0.0,0.0,0.0,55214.098,753.40063,54330.67,52700.75
12,2021-01-01 11:00:00,343.05,,48.73333,15.33358,3.01125,0.2,21.011671,161.7511,65.347984,0.0,,343.05,342.37485,52.811737,0.13054088,342.37485,52.623425,0.1038589,318.45187,50.192986,0.0,361.27197,361.2719,73965.04,24.614552,73498.44,73577.586,70469.766,0.0,0.0,70369.24,748.66766,0.0,0.0,0.0,0.0,70369.24,748.66766,69243.336,67166.03125
13,2021-01-01 12:00:00,371.41666,,65.71667,16.65555,3.47083,0.2,23.05979,176.48192,64.309105,0.0,,371.41666,338.34225,70.44462,0.14133525,338.34225,70.19343,0.11244695,316.23633,66.951515,0.0,375.52408,375.52463,76884.77,26.013983,76466.164,76229.58,73296.625,0.0,0.0,73185.69,741.98895,0.0,0.0,0.0,0.0,73185.69,741.98895,72014.72,69854.2734375
14,2021-01-01 13:00:00,339.65,,74.45,17.37463,3.8,0.2,22.316612,191.42581,66.242966,0.0,,339.65,281.3573,78.090706,0.12924708,281.3573,77.812256,0.102829546,260.50513,74.21846,0.0,328.0291,328.02893,67159.64,25.374075,66583.125,66503.51,63719.855,0.0,0.0,63636.41,743.71234,0.0,0.0,0.0,0.0,63636.41,743.71234,62618.23,60739.68359375
15,2021-01-01 14:00:00,270.95,,73.76667,17.52428,3.70875,0.2,18.873045,205.71135,70.89963,0.0,,270.95,199.47037,75.499565,0.10310466,199.47037,75.230354,0.08203052,178.96472,71.755806,0.0,245.70612,245.70549,50304.52,23.552238,49478.84,49694.37,47595.35,0.0,0.0,47549.17,746.18,0.0,0.0,0.0,0.0,47549.17,746.18,46788.387,45384.734375
16,2021-01-01 15:00:00,169.7,,59.61667,17.00191,4.475,0.2,13.106818,218.76506,77.77432,0.0,,169.7,102.79952,59.256138,0.06457597,102.57359,59.044846,0.051376928,83.48329,56.317833,0.0,137.00511,137.00446,28049.395,20.198315,27017.938,27423.465,26026.332,0.0,0.0,26011.902,734.24133,0.0,0.0,0.0,0.0,26011.902,734.24133,25595.71,24827.83984375
17,2021-01-01 16:00:00,58.66667,,33.26667,15.92008,3.71625,0.2,5.520207,230.45938,86.31102,0.0,,58.66667,16.988579,31.032047,0.02232444,14.188263,30.921396,0.017761422,3.8717449,29.493277,0.0,32.69772,32.70479,6695.9053,16.72204,5913.3936,6074.931,5701.742,0.0,0.0,5700.9985,707.9307,0.0,0.0,0.0,0.0,5700.9985,707.9307,5609.782,5441.48876953125
18,2021-01-01 17:00:00,0.0,,0.0,14.71409,3.76375,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2021-01-01 18:00:00,0.0,,0.0,13.743,3.29042,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2021-01-01 19:00:00,0.0,,0.0,12.8149,3.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2021-01-01 20:00:00,0.0,,0.0,11.88681,3.07917,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2021-01-01 21:00:00,0.0,,0.0,10.96065,2.26875,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-01-01 22:00:00,0.0,,0.0,10.03554,1.74042,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-01-01 23:00:00,0.0,,0.0,9.0392,1.53792,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-01-02 00:00:00,0.0,,0.0,7.98396,1.74417,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-01-02 01:00:00,0.0,,0.0,6.84848,2.91333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-01-02 02:00:00,0.0,,0.0,5.76363,4.14583,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2021-01-02 03:00:00,0.0,,0.0,5.07231,4.07333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2021-01-02 04:00:00,0.0,,0.0,4.44876,4.575,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2021-01-02 05:00:00,0.0,,0.0,3.84638,4.07667,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2021-01-02 06:00:00,0.0,,0.0,3.37544,4.09375,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2021-01-02 07:00:00,0.0,,0.0,2.99679,2.71875,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2021-01-02 08:00:00,6.13333,,6.06667,3.33165,2.79917,0.2,1.451263,124.35475,83.56925,0.0,,6.13333,0.08581689,5.9291496,0.0023339172,0.022444418,5.9080076,0.0018568748,0.013547011,5.6351438,0.0,5.535717,5.5356407,1133.3657,3.4758728,723.5921,759.04596,736.9193,0.0,0.0,736.9057,666.4441,0.0,0.0,0.0,0.0,736.9057,666.4441,725.1152,703.3617553710938
34,2021-01-02 09:00:00,142.83333,,38.61667,5.47463,2.675,0.2,9.741265,135.46156,75.46286,0.0,,142.83333,154.6057,45.211628,0.054352395,144.07213,45.05042,0.043243002,122.576965,42.96974,0.0,162.23578,162.09036,33194.5,9.732613,32211.777,33701.05,31797.334,0.0,0.0,31776.648,771.3576,0.0,0.0,0.0,0.0,31776.648,771.3576,31268.223,30330.17578125
35,2021-01-02 10:00:00,272.05,,55.0,7.80108,2.77667,0.2,16.450813,147.86334,69.17949,0.0,,272.05,272.42493,61.631237,0.10352324,272.42493,61.41148,0.082363546,247.72412,58.57516,0.0,300.17328,300.1731,61457.434,15.633327,60791.977,62487.52,59740.145,0.0,0.0,59669.887,758.84424,0.0,0.0,0.0,0.0,59669.887,758.84424,58715.168,56953.7109375
36,2021-01-02 11:00:00,362.31668,,54.68333,9.73776,2.41125,0.2,21.072062,161.61588,65.27954,0.0,,362.31668,357.8155,59.149506,0.13787244,357.8155,58.938595,0.10969192,332.92496,56.216488,0.0,381.35864,381.35837,78078.63,19.933022,77679.72,78839.4,75428.27,0.0,0.0,75317.05,761.3633,0.0,0.0,0.0,0.0,75317.05,761.3633,74111.97,71888.609375
37,2021-01-02 12:00:00,392.41666,,52.86667,11.01717,3.11917,0.2,23.14432,176.36049,64.215775,0.0,,392.41666,375.77695,56.273945,0.14932638,375.77695,56.073288,0.11880473,351.37137,53.483517,0.0,396.7578,396.75702,81230.305,21.137173,80883.6,81802.59,78425.68,0.0,0.0,78303.61,757.9362,0.0,0.0,0.0,0.0,78303.61,757.9362,77050.76,74739.234375
