date,time,power
01/01/2023,00:00,30271
01/01/2023,01:00,31282
01/01/2023,02:00,32074
01/01/2023,03:00,31173
01/01/2023,04:00,29097
01/01/2023,05:00,29350
01/01/2023,06:00,30271
01/01/2023,07:00,29049
01/01/2023,08:00,26432
01/01/2023,09:00,26811
01/01/2023,10:00,25569
01/01/2023,11:00,24610
01/01/2023,12:00,24778
01/01/2023,13:00,24573
01/01/2023,14:00,24555
01/01/2023,15:00,24634
01/01/2023,16:00,26011
01/01/2023,17:00,25713
01/01/2023,18:00,25220
01/01/2023,19:00,24102
01/01/2023,20:00,24888
01/01/2023,21:00,26086
01/01/2023,22:00,31093
01/01/2023,23:00,31577
02/01/2023,00:00,58345
02/01/2023,01:00,31459
02/01/2023,02:00,31404
02/01/2023,03:00,77923
02/01/2023,04:00,79359
02/01/2023,05:00,82034
02/01/2023,06:00,58345
02/01/2023,07:00,105166
02/01/2023,08:00,129457
02/01/2023,09:00,148643
02/01/2023,10:00,148737
02/01/2023,11:00,141814
02/01/2023,12:00,126427
02/01/2023,13:00,121586
02/01/2023,14:00,122825
02/01/2023,15:00,119162
02/01/2023,16:00,101222
02/01/2023,17:00,70916
02/01/2023,18:00,46441
02/01/2023,19:00,46023
02/01/2023,20:00,45681
02/01/2023,21:00,38745
02/01/2023,22:00,43996
02/01/2023,23:00,44573
03/01/2023,00:00,88101
03/01/2023,01:00,46048
03/01/2023,02:00,48850
03/01/2023,03:00,49861
03/01/2023,04:00,105765
03/01/2023,05:00,114539
03/01/2023,06:00,88101
03/01/2023,07:00,182107
03/01/2023,08:00,195801
03/01/2023,09:00,214240
03/01/2023,10:00,200501
03/01/2023,11:00,179281
03/01/2023,12:00,160439
03/01/2023,13:00,148789
03/01/2023,14:00,145524
03/01/2023,15:00,137702
03/01/2023,16:00,115042
03/01/2023,17:00,82936
03/01/2023,18:00,58380
03/01/2023,19:00,56216
03/01/2023,20:00,50980
03/01/2023,21:00,38610
03/01/2023,22:00,49240
03/01/2023,23:00,46244
04/01/2023,00:00,89686
04/01/2023,01:00,45508
04/01/2023,02:00,44303
04/01/2023,03:00,42316
04/01/2023,04:00,103362
04/01/2023,05:00,121821
04/01/2023,06:00,89686
04/01/2023,07:00,171709
04/01/2023,08:00,183583
04/01/2023,09:00,210320
04/01/2023,10:00,217842
04/01/2023,11:00,208108
04/01/2023,12:00,176045
04/01/2023,13:00,168747
04/01/2023,14:00,155349
04/01/2023,15:00,149599
04/01/2023,16:00,133242
04/01/2023,17:00,96231
04/01/2023,18:00,61569
04/01/2023,19:00,44909
04/01/2023,20:00,43965
04/01/2023,21:00,40833
04/01/2023,22:00,37865
04/01/2023,23:00,38177
05/01/2023,00:00,64523
05/01/2023,01:00,38573
05/01/2023,02:00,40984
05/01/2023,03:00,40679
05/01/2023,04:00,86086
05/01/2023,05:00,87998
05/01/2023,06:00,64523
05/01/2023,07:00,139084
05/01/2023,08:00,174886
05/01/2023,09:00,181611
05/01/2023,10:00,173974
05/01/2023,11:00,154901
05/01/2023,12:00,131421
05/01/2023,13:00,129394
05/01/2023,14:00,143434
05/01/2023,15:00,125255
05/01/2023,16:00,95897
05/01/2023,17:00,90024
05/01/2023,18:00,43200
05/01/2023,19:00,40061
05/01/2023,20:00,37283
05/01/2023,21:00,34232
05/01/2023,22:00,37433
05/01/2023,23:00,36000
06/01/2023,00:00,54451
06/01/2023,01:00,36427
06/01/2023,02:00,35310
06/01/2023,03:00,35127
06/01/2023,04:00,79551
06/01/2023,05:00,78789
06/01/2023,06:00,54451
06/01/2023,07:00,103035
06/01/2023,08:00,127045
06/01/2023,09:00,144263
06/01/2023,10:00,136953
06/01/2023,11:00,128429
06/01/2023,12:00,77833
06/01/2023,13:00,81593
06/01/2023,14:00,90015
06/01/2023,15:00,70540
06/01/2023,16:00,75535
06/01/2023,17:00,60531
06/01/2023,18:00,36681
06/01/2023,19:00,32355
06/01/2023,20:00,35277
06/01/2023,21:00,30979
06/01/2023,22:00,34497
06/01/2023,23:00,36509
07/01/2023,00:00,41297
07/01/2023,01:00,36353
07/01/2023,02:00,36229
07/01/2023,03:00,36913
07/01/2023,04:00,32386
07/01/2023,05:00,31170
07/01/2023,06:00,41297
07/01/2023,07:00,48899
07/01/2023,08:00,42625
07/01/2023,09:00,50255
07/01/2023,10:00,36608
07/01/2023,11:00,35645
07/01/2023,12:00,32074
07/01/2023,13:00,30681
07/01/2023,14:00,30489
07/01/2023,15:00,28544
07/01/2023,16:00,35768
07/01/2023,17:00,36961
07/01/2023,18:00,40332
07/01/2023,19:00,37367
07/01/2023,20:00,42497
07/01/2023,21:00,43094
07/01/2023,22:00,44883
07/01/2023,23:00,48861
08/01/2023,00:00,57978
08/01/2023,01:00,46377
08/01/2023,02:00,45356
08/01/2023,03:00,48571
08/01/2023,04:00,46878
08/01/2023,05:00,58269
08/01/2023,06:00,57978
08/01/2023,07:00,89152
08/01/2023,08:00,92734
08/01/2023,09:00,96558
08/01/2023,10:00,93717
08/01/2023,11:00,84231
08/01/2023,12:00,78669
08/01/2023,13:00,78457
08/01/2023,14:00,75758
08/01/2023,15:00,76528
08/01/2023,16:00,69112
08/01/2023,17:00,57018
08/01/2023,18:00,52191
08/01/2023,19:00,50174
08/01/2023,20:00,49925
08/01/2023,21:00,44517
08/01/2023,22:00,48570
08/01/2023,23:00,58151
09/01/2023,00:00,85884
09/01/2023,01:00,54934
09/01/2023,02:00,55624
09/01/2023,03:00,92830
09/01/2023,04:00,85339
09/01/2023,05:00,96149
09/01/2023,06:00,85884
09/01/2023,07:00,169235
09/01/2023,08:00,210817
09/01/2023,09:00,222812
09/01/2023,10:00,203205
09/01/2023,11:00,193085
09/01/2023,12:00,177358
09/01/2023,13:00,193852
09/01/2023,14:00,203952
09/01/2023,15:00,183075
09/01/2023,16:00,164645
09/01/2023,17:00,137195
09/01/2023,18:00,64098
09/01/2023,19:00,58874
09/01/2023,20:00,56608
09/01/2023,21:00,47489
09/01/2023,22:00,49423
09/01/2023,23:00,47703
10/01/2023,00:00,102932
10/01/2023,01:00,48948
10/01/2023,02:00,51324
10/01/2023,03:00,48928
10/01/2023,04:00,112710
10/01/2023,05:00,125513
10/01/2023,06:00,102932
10/01/2023,07:00,206662
10/01/2023,08:00,248411
10/01/2023,09:00,239980
10/01/2023,10:00,220287
10/01/2023,11:00,213411
10/01/2023,12:00,186176
10/01/2023,13:00,200215
10/01/2023,14:00,218152
10/01/2023,15:00,200629
10/01/2023,16:00,160336
10/01/2023,17:00,126385
10/01/2023,18:00,76406
10/01/2023,19:00,59893
10/01/2023,20:00,60417
10/01/2023,21:00,50615
10/01/2023,22:00,48065
10/01/2023,23:00,45231
11/01/2023,00:00,78627
11/01/2023,01:00,36591
11/01/2023,02:00,39672
11/01/2023,03:00,51443
11/01/2023,04:00,70180
11/01/2023,05:00,73700
11/01/2023,06:00,78627
11/01/2023,07:00,110058
11/01/2023,08:00,131163
11/01/2023,09:00,201974
11/01/2023,10:00,124052
11/01/2023,11:00,117914
11/01/2023,12:00,171255
11/01/2023,13:00,106712
11/01/2023,14:00,108245
11/01/2023,15:00,154286
11/01/2023,16:00,89012
