hour_index,timestamp,global_horizontal_irradiance,direct_normal_irradiance,diffuse_horizontal_irradiance,dry_bulb_temperature,windspeed,albedo,solar_altitude_angle,solar_azimuth_angle,solar_incident_angle,horizon_elevation_angle,tracker_roll_angle,adjusted_ghi,poa_direct_irradiance,poa_diffuse_irradiance,poa_reflected_irradiance,shaded_direct_irradiance,shaded_diffuse_irradiance,shaded_reflected_irradiance,effective_direct_irradiance,effective_diffuse_irradiance,effective_reflected_irradiance,soiled_irradiance,total_irradiance,nameplate_power,avg_cell_temp,module_irradiance_derated_power,module_mpp_power,module_power,optimizer_input_power,optimizer_output_power,optimal_dc_power,optimal_dc_voltage,inverter_overpower_loss,inverter_underpower_loss,inverter_overvoltage_loss,inverter_undervoltage_loss,actual_dc_power,actual_dc_voltage,ac_power,grid_power
1,2009-01-01 00:00:00,0.0,0.0,0.0,2.07,1.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2009-01-01 01:00:00,0.0,0.0,0.0,2.09,1.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2009-01-01 02:00:00,0.0,0.0,0.0,2.11,1.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2009-01-01 03:00:00,0.0,0.0,0.0,2.13,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2009-01-01 04:00:00,0.0,0.0,0.0,2.15,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2009-01-01 05:00:00,0.0,0.0,0.0,2.17,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2009-01-01 06:00:00,0.0,0.0,0.0,2.19,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2009-01-01 07:00:00,0.0,0.0,0.0,2.22,0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009-01-01 08:00:00,79.0,379.66,37.0,2.75,1.0,0.0,0.90807456,125.49613,81.6078,0.0,,79.0,70.414154,25.224957,0.12001875,24.737553,24.688852,0.09562898,16.058115,23.657967,0.030470528,38.951622,38.77816,11940.707,3.8894548,10766.275,11478.266,9399.657,0.0,0.0,9397.583,670.0403,0.0,0.0,0.0,0.0,9397.583,670.0403,9243.176,8965.880859375
10,2009-01-01 09:00:00,166.0,295.0,99.0,3.48,1.0,0.0,8.718037,136.92186,74.03416,0.0,,166.0,121.5758,113.721535,0.2521913,80.61005,111.11593,0.2009419,69.80914,106.481224,0.06402668,172.8273,172.74236,53178.01,8.55585,51736.08,54262.996,47837.465,0.0,0.0,47800.957,737.8153,0.0,0.0,0.0,0.0,47800.957,737.8153,47020.973,45610.33984375
11,2009-01-01 10:00:00,306.0,780.17,65.0,4.21,1.0,0.0,14.939049,149.51491,68.408936,0.0,,306.0,343.98572,75.90088,0.46488276,321.9277,74.17384,0.37041098,294.28775,71.07973,0.11802509,358.17578,358.0655,110225.43,14.731373,109555.03,112713.73,101219.39,0.0,0.0,101059.07,757.9501,0.0,0.0,0.0,0.0,101059.07,757.9501,99424.695,96441.953125
12,2009-01-01 11:00:00,360.0,856.11,60.0,4.93,1.0,0.0,19.103313,163.281,65.252396,0.0,,360.0,383.41962,69.50086,0.5469209,381.83786,67.9313,0.4357776,355.29742,65.0973,0.13885304,412.1229,412.06207,126842.805,17.038004,126403.11,129306.2,124157.75,0.0,0.0,123946.516,762.3143,0.0,0.0,0.0,0.0,123946.516,762.3143,121926.26,118268.46875
13,2009-01-01 12:00:00,341.0,725.27,88.0,4.66,1.1,0.0,20.81083,177.85559,64.93971,0.0,,341.0,300.92157,97.84563,0.5180556,300.12793,95.650856,0.41277823,279.6331,91.66007,0.13152468,363.9962,363.94284,112026.25,15.282326,111342.805,114458.45,109447.34,0.0,0.0,109286.06,767.35443,0.0,0.0,0.0,0.0,109286.06,767.35443,107498.64,104273.6796875
14,2009-01-01 13:00:00,257.0,453.57,119.0,4.38,1.1,0.0,19.871836,192.5452,67.5316,0.0,,257.0,154.50409,125.4943,0.39044076,153.92616,122.68873,0.3110968,141.41245,117.569626,0.099125646,253.89958,253.96413,78175.984,11.792398,76982.18,79973.836,76266.91,0.0,0.0,76188.38,767.62775,0.0,0.0,0.0,0.0,76188.38,767.62775,74939.766,72691.5703125
15,2009-01-01 14:00:00,94.0,27.31,88.0,4.11,1.2,0.0,16.392788,206.60474,72.731415,0.0,,94.0,6.2739997,88.52059,0.14280713,6.0818152,86.495384,0.11378638,5.3508816,82.88748,0.03625607,86.50913,86.49216,26622.492,6.617505,25099.22,26555.975,25343.58,0.0,0.0,25334.701,763.8989,0.0,0.0,0.0,0.0,25334.701,763.8989,24923.418,24175.71484375
16,2009-01-01 15:00:00,63.0,267.39,36.0,2.5,1.3,0.0,10.726698,219.55798,80.02141,0.0,,63.0,24.95363,35.977894,0.09571116,24.005707,35.198387,0.07626108,18.239092,33.72917,0.024299283,50.95271,51.00379,15701.307,3.9687524,14394.064,15347.137,14592.17,0.0,0.0,14588.888,744.0739,0.0,0.0,0.0,0.0,14588.888,744.0739,14346.123,13915.7392578125
17,2009-01-01 16:00:00,0.0,0.0,0.0,0.89,1.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2009-01-01 17:00:00,0.0,0.0,0.0,-0.73,1.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2009-01-01 18:00:00,0.0,0.0,0.0,-1.75,1.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
